date,channel,spend_usd,impressions,clicks
2026-01-26,Meta Ads,111.0,13199,327
2026-01-26,Google Ads,273.01,28733,1001
2026-01-26,TikTok Ads,175.66,18106,494
2026-01-27,Meta Ads,98.81,10760,236
2026-01-27,Google Ads,56.08,5934,115
2026-01-27,TikTok Ads,285.11,33688,1275
2026-01-28,Meta Ads,142.54,11491,439
2026-01-28,Google Ads,157.05,18636,728
2026-01-28,TikTok Ads,263.25,24160,594
2026-01-29,Meta Ads,262.78,24354,468
2026-01-29,Google Ads,189.2,22220,719
2026-01-29,TikTok Ads,192.52,16149,490
2026-01-30,Meta Ads,297.51,25468,712
2026-01-30,Google Ads,269.34,29528,957
2026-01-30,TikTok Ads,225.62,21294,475
2026-01-31,Meta Ads,252.34,28364,1040
2026-01-31,Google Ads,278.31,27957,769
2026-01-31,TikTok Ads,249.57,26454,861
2026-02-01,Meta Ads,248.95,28778,674
2026-02-01,Google Ads,143.9,12052,355
2026-02-01,TikTok Ads,58.99,5817,166
2026-02-02,Meta Ads,121.64,12605,198
2026-02-02,Google Ads,59.34,6699,160
2026-02-02,TikTok Ads,81.77,8249,282
2026-02-03,Meta Ads,103.96,10906,186
2026-02-03,Google Ads,62.92,6370,181
2026-02-03,TikTok Ads,209.36,22829,899
2026-02-04,Meta Ads,179.08,16639,580
2026-02-04,Google Ads,117.71,11483,194
2026-02-04,TikTok Ads,56.34,6676,239
2026-02-05,Meta Ads,223.99,21583,417
2026-02-05,Google Ads,89.11,8020,230
2026-02-05,TikTok Ads,228.65,24330,535
2026-02-06,Meta Ads,288.72,31619,912
2026-02-06,Google Ads,202.93,19640,416
2026-02-06,TikTok Ads,138.99,15332,235
2026-02-07,Meta Ads,79.02,6466,103
2026-02-07,Google Ads,263.87,28536,766
2026-02-07,TikTok Ads,74.46,7420,199
2026-02-08,Meta Ads,93.3,9083,226
2026-02-08,Google Ads,203.96,21498,346
2026-02-08,TikTok Ads,143.65,15088,416
2026-02-09,Meta Ads,264.12,28088,535
2026-02-09,Google Ads,67.64,7149,111
2026-02-09,TikTok Ads,196.44,23103,678
2026-02-10,Meta Ads,147.04,15547,411
2026-02-10,Google Ads,186.4,21932,540
2026-02-10,TikTok Ads,290.3,33736,671
2026-02-11,Meta Ads,67.34,5658,87
2026-02-11,Google Ads,73.61,7899,132
2026-02-11,TikTok Ads,129.74,14764,230
2026-02-12,Meta Ads,253.62,23148,415
2026-02-12,Google Ads,224.18,23574,870
2026-02-12,TikTok Ads,233.77,26214,578
2026-02-13,Meta Ads,94.36,10381,365
2026-02-13,Google Ads,297.63,28722,697
2026-02-13,TikTok Ads,244.1,22855,874
2026-02-14,Meta Ads,264.6,25708,868
2026-02-14,Google Ads,238.64,20075,754
2026-02-14,TikTok Ads,176.31,19933,458
2026-02-15,Meta Ads,273.88,26174,399
2026-02-15,Google Ads,276.35,23116,531
2026-02-15,TikTok Ads,287.52,33933,995
2026-02-16,Meta Ads,207.96,20367,454
2026-02-16,Google Ads,132.17,14128,477
2026-02-16,TikTok Ads,247.89,27661,477
2026-02-17,Meta Ads,173.61,14288,410
2026-02-17,Google Ads,160.38,18525,440
2026-02-17,TikTok Ads,79.27,6794,231
2026-02-18,Meta Ads,204.55,17191,294
2026-02-18,Google Ads,225.24,18674,663
2026-02-18,TikTok Ads,226.56,18862,322
2026-02-19,Meta Ads,296.66,28174,683
2026-02-19,Google Ads,253.2,29849,1183
2026-02-19,TikTok Ads,238.34,22654,387
2026-02-20,Meta Ads,244.29,24999,640
2026-02-20,Google Ads,276.59,23357,638
2026-02-20,TikTok Ads,52.84,5217,85
2026-02-21,Meta Ads,79.7,6751,210
2026-02-21,Google Ads,236.51,24439,954
2026-02-21,TikTok Ads,143.72,13139,482
2026-02-22,Meta Ads,105.9,12552,192
2026-02-22,Google Ads,292.47,23902,891
2026-02-22,TikTok Ads,181.93,21779,366
2026-02-23,Meta Ads,188.46,22384,628
2026-02-23,Google Ads,207.35,22358,589
2026-02-23,TikTok Ads,206.89,21386,802
2026-02-24,Meta Ads,61.36,5598,216
2026-02-24,Google Ads,272.57,26773,816
2026-02-24,TikTok Ads,119.35,10445,277
2026-02-25,Meta Ads,138.34,14296,242
2026-02-25,Google Ads,293.6,35069,1138
2026-02-25,TikTok Ads,184.02,17000,600
2026-02-26,Meta Ads,221.18,19133,722
2026-02-26,Google Ads,255.63,30162,999
2026-02-26,TikTok Ads,203.35,19670,753
2026-02-27,Meta Ads,266.52,21803,341
2026-02-27,Google Ads,144.12,16201,642
2026-02-27,TikTok Ads,87.6,9090,222
2026-02-28,Meta Ads,292.48,33250,1195
2026-02-28,Google Ads,167.17,16147,352
2026-02-28,TikTok Ads,64.09,7344,259
2026-03-01,Meta Ads,299.93,35951,1038
2026-03-01,Google Ads,242.25,28534,1034
2026-03-01,TikTok Ads,111.84,10962,199
2026-03-02,Meta Ads,288.51,30076,623
2026-03-02,Google Ads,217.93,22822,546
2026-03-02,TikTok Ads,78.39,8376,234
2026-03-03,Meta Ads,243.08,24504,889
2026-03-03,Google Ads,187.98,19255,710
2026-03-03,TikTok Ads,150.87,12878,202
2026-03-04,Meta Ads,238.78,25027,815
2026-03-04,Google Ads,103.24,8822,135
2026-03-04,TikTok Ads,137.65,14259,353
2026-03-05,Meta Ads,159.37,18513,438
2026-03-05,Google Ads,178.5,19874,495
2026-03-05,TikTok Ads,205.52,23531,911
2026-03-06,Meta Ads,86.77,10157,277
2026-03-06,Google Ads,114.56,11268,445
2026-03-06,TikTok Ads,173.15,16129,497
2026-03-07,Meta Ads,110.04,9136,166
2026-03-07,Google Ads,82.01,7059,130
2026-03-07,TikTok Ads,210.22,18346,433
2026-03-08,Meta Ads,274.2,27134,859
2026-03-08,Google Ads,93.08,8162,130
2026-03-08,TikTok Ads,92.23,8406,163
2026-03-09,Meta Ads,72.18,6122,162
2026-03-09,Google Ads,101.58,9606,264
2026-03-09,TikTok Ads,222.6,18157,635
2026-03-10,Meta Ads,206.98,17234,634
2026-03-10,Google Ads,280.22,23102,506
2026-03-10,TikTok Ads,251.55,27653,542
2026-03-11,Meta Ads,102.34,9703,263
2026-03-11,Google Ads,204.56,19383,514
2026-03-11,TikTok Ads,236.87,19296,411
2026-03-12,Meta Ads,228.34,26443,734
2026-03-12,Google Ads,183.03,15426,403
2026-03-12,TikTok Ads,183.15,16428,356
2026-03-13,Meta Ads,144.32,11661,268
2026-03-13,Google Ads,102.86,9576,172
2026-03-13,TikTok Ads,272.63,28283,904
2026-03-14,Meta Ads,247.29,24713,424
2026-03-14,Google Ads,184.28,19067,641
2026-03-14,TikTok Ads,157.91,13439,296
2026-03-15,Meta Ads,140.77,14898,436
2026-03-15,Google Ads,139.02,16607,500
2026-03-15,TikTok Ads,109.31,9189,172
2026-03-16,Meta Ads,111.49,9635,189
2026-03-16,Google Ads,121.27,10542,394
2026-03-16,TikTok Ads,70.06,7074,178
2026-03-17,Meta Ads,295.59,24972,622
2026-03-17,Google Ads,292.37,33511,1187
2026-03-17,TikTok Ads,114.48,9940,315
2026-03-18,Meta Ads,282.34,28875,845
2026-03-18,Google Ads,119.99,13292,261
2026-03-18,TikTok Ads,130.92,12701,351
2026-03-19,Meta Ads,110.6,9356,283
2026-03-19,Google Ads,122.16,12612,237
2026-03-19,TikTok Ads,170.29,17250,281
2026-03-20,Meta Ads,134.15,11453,189
2026-03-20,Google Ads,297.49,27635,974
2026-03-20,TikTok Ads,113.66,12191,414
2026-03-21,Meta Ads,198.91,19664,497
2026-03-21,Google Ads,137.22,16079,575
2026-03-21,TikTok Ads,291.26,24748,823
2026-03-22,Meta Ads,284.59,24829,413
2026-03-22,Google Ads,235.28,24228,873
2026-03-22,TikTok Ads,84.94,9497,190
2026-03-23,Meta Ads,90.91,7870,278
2026-03-23,Google Ads,216.3,21829,523
2026-03-23,TikTok Ads,269.3,25771,912
2026-03-24,Meta Ads,159.78,15191,403
2026-03-24,Google Ads,125.34,13775,379
2026-03-24,TikTok Ads,108.05,12532,308
2026-03-25,Meta Ads,185.89,21611,661
2026-03-25,Google Ads,79.22,9316,285
2026-03-25,TikTok Ads,133.73,11443,398
2026-03-26,Meta Ads,205.02,20776,775
2026-03-26,Google Ads,247.15,21271,484
2026-03-26,TikTok Ads,112.12,12306,194
2026-03-27,Meta Ads,192.47,21267,785
2026-03-27,Google Ads,135.52,15293,271
2026-03-27,TikTok Ads,261.61,22263,555
2026-03-28,Meta Ads,249.32,21441,444
2026-03-28,Google Ads,230.56,25085,778
2026-03-28,TikTok Ads,223.49,22730,484
2026-03-29,Meta Ads,136.42,11904,448
2026-03-29,Google Ads,195.85,18808,499
2026-03-29,TikTok Ads,286.82,24705,732
2026-03-30,Meta Ads,176.47,18433,284
2026-03-30,Google Ads,268.03,31435,915
2026-03-30,TikTok Ads,224.16,26204,856
2026-03-31,Meta Ads,88.13,9082,273
2026-03-31,Google Ads,156.03,17078,655
2026-03-31,TikTok Ads,281.39,27585,491
2026-04-01,Meta Ads,296.21,33636,609
2026-04-01,Google Ads,280.21,32167,899
2026-04-01,TikTok Ads,197.82,18982,310
2026-04-02,Meta Ads,133.8,15000,226
2026-04-02,Google Ads,133.37,12794,363
2026-04-02,TikTok Ads,279.96,26275,622
2026-04-03,Meta Ads,234.38,22989,473
2026-04-03,Google Ads,163.11,13967,271
2026-04-03,TikTok Ads,174.59,16892,639
2026-04-04,Meta Ads,140.6,14513,447
2026-04-04,Google Ads,53.27,5675,110
2026-04-04,TikTok Ads,290.27,24947,632
2026-04-05,Meta Ads,71.34,8551,235
2026-04-05,Google Ads,198.85,16441,554
2026-04-05,TikTok Ads,102.48,11879,239
2026-04-06,Meta Ads,97.67,7956,213
2026-04-06,Google Ads,191.21,15799,543
2026-04-06,TikTok Ads,163.32,16491,429
2026-04-07,Meta Ads,150.19,15377,290
2026-04-07,Google Ads,95.48,10929,422
2026-04-07,TikTok Ads,143.33,13018,404
2026-04-08,Meta Ads,152.18,12329,233
2026-04-08,Google Ads,228.99,24355,381
2026-04-08,TikTok Ads,105.49,9414,299
2026-04-09,Meta Ads,54.93,4622,161
2026-04-09,Google Ads,94.64,10041,210
2026-04-09,TikTok Ads,74.86,6716,222
2026-04-10,Meta Ads,263.92,29878,744
2026-04-10,Google Ads,217.02,19141,427
2026-04-10,TikTok Ads,274.08,22069,378
2026-04-11,Meta Ads,101.97,8265,161
2026-04-11,Google Ads,195.76,18960,707
2026-04-11,TikTok Ads,254.36,23826,511
2026-04-12,Meta Ads,144.92,15015,325
2026-04-12,Google Ads,206.04,19857,571
2026-04-12,TikTok Ads,159.03,14595,564
2026-04-13,Meta Ads,240.9,20622,757
2026-04-13,Google Ads,171.86,19898,696
2026-04-13,TikTok Ads,156.3,12644,274
2026-04-14,Meta Ads,185.41,19530,418
2026-04-14,Google Ads,84.84,9620,381
2026-04-14,TikTok Ads,181.42,15759,343
2026-04-15,Meta Ads,54.6,6364,114
2026-04-15,Google Ads,194.13,17658,509
2026-04-15,TikTok Ads,212.86,24092,485
2026-04-16,Meta Ads,52.75,4508,169
2026-04-16,Google Ads,268.47,27893,837
2026-04-16,TikTok Ads,216.26,18817,712
2026-04-17,Meta Ads,154.69,14746,412
2026-04-17,Google Ads,61.74,5349,178
2026-04-17,TikTok Ads,70.7,7361,155
2026-04-18,Meta Ads,147.32,13487,322
2026-04-18,Google Ads,229.76,21111,615
2026-04-18,TikTok Ads,169.01,18007,691
2026-04-19,Meta Ads,233.14,20655,325
2026-04-19,Google Ads,115.57,11996,195
2026-04-19,TikTok Ads,174.09,18083,422
2026-04-20,Meta Ads,242.73,20453,345
2026-04-20,Google Ads,232.05,23162,746
2026-04-20,TikTok Ads,158.71,14260,505
2026-04-21,Meta Ads,249.85,26931,587
2026-04-21,Google Ads,197.56,18657,322
2026-04-21,TikTok Ads,279.33,23874,925
2026-04-22,Meta Ads,161.5,14116,402
2026-04-22,Google Ads,268.24,29315,1030
2026-04-22,TikTok Ads,214.7,23120,837
2026-04-23,Meta Ads,112.42,11194,229
2026-04-23,Google Ads,296.92,34965,558
2026-04-23,TikTok Ads,226.39,26490,516
2026-04-24,Meta Ads,191.99,22389,354
2026-04-24,Google Ads,224.36,20616,785
2026-04-24,TikTok Ads,292.76,34479,925
2026-04-25,Meta Ads,265.51,30210,694
2026-04-25,Google Ads,257.23,20959,626
2026-04-25,TikTok Ads,107.5,9118,154
2026-04-26,Meta Ads,224.07,20972,694
2026-04-26,Google Ads,66.34,6143,174
2026-04-26,TikTok Ads,247.68,22972,704
2026-04-27,Meta Ads,271.49,28407,591
2026-04-27,Google Ads,56.1,6440,100
2026-04-27,TikTok Ads,268.68,27178,1045
2026-04-28,Meta Ads,249.7,29942,711
2026-04-28,Google Ads,241.8,23231,627
2026-04-28,TikTok Ads,206.88,23779,941
2026-04-29,Meta Ads,242.07,23410,597
2026-04-29,Google Ads,234.4,20990,372
2026-04-29,TikTok Ads,138.66,12685,284
2026-04-30,Meta Ads,108.4,8854,136
2026-04-30,Google Ads,296.93,28835,709
2026-04-30,TikTok Ads,219.91,19512,756
2026-05-01,Meta Ads,246.59,20608,524
2026-05-01,Google Ads,269.78,31777,847
2026-05-01,TikTok Ads,203.35,17626,701
2026-05-02,Meta Ads,107.92,12702,396
2026-05-02,Google Ads,201.93,20295,421
2026-05-02,TikTok Ads,94.13,8360,164
2026-05-03,Meta Ads,244.9,23021,378
2026-05-03,Google Ads,292.28,33714,1287
2026-05-03,TikTok Ads,298.73,25976,646
2026-05-04,Meta Ads,239.56,25834,486
2026-05-04,Google Ads,253.96,22596,465
2026-05-04,TikTok Ads,184.24,19109,563
2026-05-05,Meta Ads,72.87,8387,181
2026-05-05,Google Ads,82.38,9518,370
2026-05-05,TikTok Ads,265.53,29840,936
2026-05-06,Meta Ads,187.71,15670,395
2026-05-06,Google Ads,143.17,12941,428
2026-05-06,TikTok Ads,173.97,14481,296
2026-05-07,Meta Ads,220.81,18337,665
2026-05-07,Google Ads,173.79,17243,514
2026-05-07,TikTok Ads,256.17,24057,768
2026-05-08,Meta Ads,191.43,17359,641
2026-05-08,Google Ads,249.36,26516,961
2026-05-08,TikTok Ads,266.82,28906,1038
2026-05-09,Meta Ads,224.37,24053,732
2026-05-09,Google Ads,238.18,20565,761
2026-05-09,TikTok Ads,267.96,21750,775
2026-05-10,Meta Ads,82.22,7679,257
2026-05-10,Google Ads,90.19,10166,363
2026-05-10,TikTok Ads,176.87,14194,314
2026-05-11,Meta Ads,204.23,24354,749
2026-05-11,Google Ads,114.95,12111,345
2026-05-11,TikTok Ads,244.96,20645,702
2026-05-12,Meta Ads,185.32,21963,517
2026-05-12,Google Ads,208.16,24412,428
2026-05-12,TikTok Ads,284.31,30567,510
2026-05-13,Meta Ads,125.24,13566,226
2026-05-13,Google Ads,195.54,18348,560
2026-05-13,TikTok Ads,61.44,7056,277
2026-05-14,Meta Ads,292.22,32140,586
2026-05-14,Google Ads,239.57,19400,301
2026-05-14,TikTok Ads,130.9,13030,446
2026-05-15,Meta Ads,220.82,21604,471
2026-05-15,Google Ads,299.28,29044,763
2026-05-15,TikTok Ads,90.91,10162,328
2026-05-16,Meta Ads,105.19,8762,280
2026-05-16,Google Ads,213.63,19425,753
2026-05-16,TikTok Ads,87.76,8538,329
2026-05-17,Meta Ads,154.93,16351,407
2026-05-17,Google Ads,118.55,14150,357
2026-05-17,TikTok Ads,273.52,24397,495
2026-05-18,Meta Ads,57.78,6128,148
2026-05-18,Google Ads,266.09,26323,1031
2026-05-18,TikTok Ads,96.38,11059,380
2026-05-19,Meta Ads,242.73,27620,939
2026-05-19,Google Ads,206.56,17608,278
2026-05-19,TikTok Ads,280.21,29328,1023
2026-05-20,Meta Ads,170.38,14429,261
2026-05-20,Google Ads,221.39,21521,430
2026-05-20,TikTok Ads,172.9,14275,421
2026-05-21,Meta Ads,117.25,13120,298
2026-05-21,Google Ads,163.81,13180,221
2026-05-21,TikTok Ads,148.12,14693,440
2026-05-22,Meta Ads,122.92,13250,483
2026-05-22,Google Ads,244.96,19985,539
2026-05-22,TikTok Ads,76.23,6836,271
2026-05-23,Meta Ads,85.62,8558,260
2026-05-23,Google Ads,225.62,23099,352
2026-05-23,TikTok Ads,131.62,13254,227
2026-05-24,Meta Ads,137.66,11195,189
2026-05-24,Google Ads,149.23,12730,371
2026-05-24,TikTok Ads,222.37,24910,498
2026-05-25,Meta Ads,91.87,7733,239
2026-05-25,Google Ads,226.62,18415,707
2026-05-25,TikTok Ads,62.99,6403,209
2026-05-26,Meta Ads,267.74,29067,1018
2026-05-26,Google Ads,134.86,15184,258
2026-05-26,TikTok Ads,273.7,27891,988
2026-05-27,Meta Ads,163.08,17244,485
2026-05-27,Google Ads,232.9,19392,320
2026-05-27,TikTok Ads,111.78,9655,355
2026-05-28,Meta Ads,104.8,12475,292
2026-05-28,Google Ads,95.53,10659,335
2026-05-28,TikTok Ads,174.55,17841,588
2026-05-29,Meta Ads,107.11,12837,505
2026-05-29,Google Ads,212.58,18703,598
2026-05-29,TikTok Ads,68.05,5527,118
2026-05-30,Meta Ads,165.66,19005,630
2026-05-30,Google Ads,235.68,22865,540
2026-05-30,TikTok Ads,142.76,17060,273
2026-05-31,Meta Ads,266.76,27515,714
2026-05-31,Google Ads,231.31,23008,847
2026-05-31,TikTok Ads,275.18,26655,584
2026-06-01,Meta Ads,198.09,23076,467
2026-06-01,Google Ads,205.74,21656,721
2026-06-01,TikTok Ads,82.89,9004,339
2026-06-02,Meta Ads,94.92,8495,333
2026-06-02,Google Ads,95.24,10874,296
2026-06-02,TikTok Ads,111.81,12838,335
2026-06-03,Meta Ads,178.7,16864,502
2026-06-03,Google Ads,90.88,8692,341
2026-06-03,TikTok Ads,114.53,12171,281
2026-06-04,Meta Ads,243.37,20743,814
2026-06-04,Google Ads,163.45,14619,246
2026-06-04,TikTok Ads,92.44,9317,218
2026-06-05,Meta Ads,257.22,25010,530
2026-06-05,Google Ads,204.29,22118,424
2026-06-05,TikTok Ads,91.9,7487,250
2026-06-06,Meta Ads,215.95,21375,771
2026-06-06,Google Ads,251.42,26000,954
2026-06-06,TikTok Ads,101.46,8571,186
2026-06-07,Meta Ads,64.27,6507,249
2026-06-07,Google Ads,59.84,5079,133
2026-06-07,TikTok Ads,283.47,26262,726
2026-06-08,Meta Ads,60.39,5189,205
2026-06-08,Google Ads,291.28,23359,906
2026-06-08,TikTok Ads,209.78,24065,634
2026-06-09,Meta Ads,178.9,17810,564
2026-06-09,Google Ads,84.91,6894,156
2026-06-09,TikTok Ads,226.17,19919,634
2026-06-10,Meta Ads,292.48,24496,779
2026-06-10,Google Ads,160.94,18463,358
2026-06-10,TikTok Ads,223.16,25333,978
2026-06-11,Meta Ads,220.81,22056,671
2026-06-11,Google Ads,267.23,27477,433
2026-06-11,TikTok Ads,282.74,30417,970
2026-06-12,Meta Ads,103.92,11052,274
2026-06-12,Google Ads,212.81,17932,563
2026-06-12,TikTok Ads,299.85,24566,968
2026-06-13,Meta Ads,151.73,17422,602
2026-06-13,Google Ads,191.75,21004,776
2026-06-13,TikTok Ads,151.04,14058,445
2026-06-14,Meta Ads,251.96,27839,972
2026-06-14,Google Ads,158.9,17909,322
2026-06-14,TikTok Ads,186.12,14932,345
2026-06-15,Meta Ads,141.62,13573,439
2026-06-15,Google Ads,147.14,14411,301
2026-06-15,TikTok Ads,143.31,12767,214
2026-06-16,Meta Ads,200.86,21437,653
2026-06-16,Google Ads,165.87,15789,577
2026-06-16,TikTok Ads,179.77,17827,278
2026-06-17,Meta Ads,135.31,12882,321
2026-06-17,Google Ads,195.04,19766,596
2026-06-17,TikTok Ads,241.22,27142,894
2026-06-18,Meta Ads,288.88,23321,463
2026-06-18,Google Ads,51.89,5495,205
2026-06-18,TikTok Ads,110.87,12980,214
2026-06-19,Meta Ads,283.61,26677,467
2026-06-19,Google Ads,171.47,15478,342
2026-06-19,TikTok Ads,126.82,14219,404
2026-06-20,Meta Ads,127.83,13346,439
2026-06-20,Google Ads,118.16,11407,205
2026-06-20,TikTok Ads,95.29,10219,199
2026-06-21,Meta Ads,181.29,19645,347
2026-06-21,Google Ads,191.83,17314,676
2026-06-21,TikTok Ads,170.89,19180,551
2026-06-22,Meta Ads,60.85,6409,248
2026-06-22,Google Ads,200.4,22598,838
2026-06-22,TikTok Ads,107.02,9469,286
2026-06-23,Meta Ads,152.76,17352,650
2026-06-23,Google Ads,138.36,12379,427
2026-06-23,TikTok Ads,118.7,13401,342
2026-06-24,Meta Ads,216.89,18179,556
2026-06-24,Google Ads,162.94,16858,323
2026-06-24,TikTok Ads,234.22,26820,547
2026-06-25,Meta Ads,73.93,5984,185
2026-06-25,Google Ads,201.77,20554,427
2026-06-25,TikTok Ads,147.73,15330,420
2026-06-26,Meta Ads,296.95,25376,821
2026-06-26,Google Ads,151.08,14674,483
2026-06-26,TikTok Ads,223.11,26695,486
2026-06-27,Meta Ads,76.03,8284,244
2026-06-27,Google Ads,118.54,9859,168
2026-06-27,TikTok Ads,273.55,23983,553
2026-06-28,Meta Ads,106.66,10047,168
2026-06-28,Google Ads,179.76,14867,520
2026-06-28,TikTok Ads,108.43,11016,407
2026-06-29,Meta Ads,212.72,21552,498
2026-06-29,Google Ads,133.25,14228,567
2026-06-29,TikTok Ads,215.46,22043,733
