order_id,user_id,order_date,channel,order_value_usd
ORD-10041,USR-1545,2026-04-27,Google Ads,49.09
ORD-10042,USR-2459,2026-03-23,Google Ads,105.25
ORD-10043,USR-1396,2026-02-11,TikTok Ads,28.98
ORD-10044,USR-1424,2026-01-17,TikTok Ads,87.25
ORD-10045,USR-2120,2026-03-01,Meta Ads,103.29
ORD-10046,USR-1231,2026-02-27,Meta Ads,63.46
ORD-10047,USR-1725,2026-02-03,Google Ads,81.85
ORD-10048,USR-1855,2026-03-20,Organic Search,107.66
ORD-10049,USR-1448,2026-03-10,TikTok Ads,61.54
ORD-10050,USR-1086,2026-01-08,Meta Ads,90.21
ORD-10051,USR-1663,2026-04-19,Organic Search,18.73
ORD-10052,USR-1365,2026-05-28,TikTok Ads,119.12
ORD-10053,USR-2414,2026-06-29,TikTok Ads,97.3
ORD-10054,USR-2284,2026-02-20,Meta Ads,72.71
ORD-10055,USR-1137,2026-04-06,Meta Ads,17.2
ORD-10056,USR-2246,2026-04-22,Direct,97.16
ORD-10057,USR-1961,2026-04-14,TikTok Ads,85.07
ORD-10058,USR-1835,2026-02-18,Meta Ads,96.34
ORD-10059,USR-1118,2026-06-18,Direct,19.4
ORD-10060,USR-1651,2026-04-24,Meta Ads,64.81
ORD-10061,USR-1159,2026-01-02,TikTok Ads,93.55
ORD-10062,USR-2249,2026-02-01,TikTok Ads,28.45
ORD-10063,USR-2425,2026-01-15,Meta Ads,38.58
ORD-10064,USR-1845,2026-06-02,Google Ads,61.14
ORD-10065,USR-1413,2026-04-24,Direct,112.47
ORD-10066,USR-1685,2026-06-21,Meta Ads,16.34
ORD-10067,USR-2245,2026-05-29,Meta Ads,105.44
ORD-10068,USR-1148,2026-01-12,Organic Search,94.28
ORD-10069,USR-1301,2026-05-29,Direct,91.49
ORD-10070,USR-1202,2026-05-15,Meta Ads,48.61
ORD-10071,USR-1533,2026-05-30,Direct,71.65
ORD-10072,USR-1540,2026-01-13,Meta Ads,86.96
ORD-10073,USR-2486,2026-06-29,Organic Search,68.11
ORD-10074,USR-1277,2026-03-29,Meta Ads,71.93
ORD-10075,USR-1702,2026-04-07,Google Ads,26.12
ORD-10076,USR-1107,2026-01-23,TikTok Ads,81.81
ORD-10077,USR-1135,2026-05-08,Google Ads,63.46
ORD-10078,USR-2284,2026-05-24,Organic Search,107.55
ORD-10079,USR-2247,2026-05-12,Meta Ads,107.38
ORD-10080,USR-2033,2026-04-08,Meta Ads,92.95
ORD-10081,USR-1922,2026-02-15,TikTok Ads,87.23
ORD-10082,USR-1499,2026-04-22,TikTok Ads,70.04
ORD-10083,USR-2035,2026-03-31,Organic Search,93.3
ORD-10084,USR-2460,2026-01-14,TikTok Ads,53.63
ORD-10085,USR-2014,2026-03-16,TikTok Ads,64.38
ORD-10086,USR-2404,2026-04-11,Meta Ads,82.55
ORD-10087,USR-1226,2026-05-18,Organic Search,29.47
ORD-10088,USR-1404,2026-02-23,TikTok Ads,18.05
ORD-10089,USR-2080,2026-06-23,Google Ads,55.71
ORD-10090,USR-1515,2026-01-17,Google Ads,68.56
ORD-10091,USR-1335,2026-01-03,Meta Ads,38.67
ORD-10092,USR-1535,2026-05-12,Meta Ads,86.03
ORD-10093,USR-2211,2026-03-23,TikTok Ads,101.63
ORD-10094,USR-1210,2026-02-18,TikTok Ads,21.15
ORD-10095,USR-2337,2026-04-19,TikTok Ads,89.31
ORD-10096,USR-1018,2026-06-08,Organic Search,61.22
ORD-10097,USR-2206,2026-04-04,Meta Ads,39.77
ORD-10098,USR-1762,2026-03-04,Meta Ads,99.14
ORD-10099,USR-2019,2026-02-16,Direct,46.44
ORD-10100,USR-2283,2026-06-10,Google Ads,67.1
ORD-10101,USR-1077,2026-02-16,Meta Ads,93.46
ORD-10102,USR-2423,2026-04-13,Google Ads,36.31
ORD-10103,USR-1972,2026-03-02,Direct,88.53
ORD-10104,USR-1709,2026-04-04,Organic Search,69.4
ORD-10105,USR-2449,2026-04-19,TikTok Ads,104.54
ORD-10106,USR-2372,2026-06-03,Organic Search,63.48
ORD-10107,USR-1703,2026-02-18,Google Ads,65.71
ORD-10108,USR-1637,2026-03-11,TikTok Ads,91.43
ORD-10109,USR-2336,2026-06-12,Google Ads,15.74
ORD-10110,USR-2387,2026-02-10,Meta Ads,29.21
ORD-10111,USR-1984,2026-01-31,Direct,115.44
ORD-10112,USR-1617,2026-06-07,Meta Ads,44.63
ORD-10113,USR-2243,2026-05-15,Meta Ads,97.65
ORD-10114,USR-2205,2026-05-18,Meta Ads,60.03
ORD-10115,USR-2251,2026-03-11,Meta Ads,18.53
ORD-10116,USR-1874,2026-03-25,TikTok Ads,29.62
ORD-10117,USR-2093,2026-06-27,Google Ads,109.48
ORD-10118,USR-2171,2026-06-09,TikTok Ads,28.44
ORD-10119,USR-2449,2026-06-25,Direct,101.93
ORD-10120,USR-2336,2026-04-30,Meta Ads,66.92
ORD-10121,USR-2154,2026-01-21,Meta Ads,91.14
ORD-10122,USR-1370,2026-06-14,Google Ads,117.06
ORD-10123,USR-1444,2026-05-08,Direct,26.98
ORD-10124,USR-1894,2026-06-27,TikTok Ads,41.35
ORD-10125,USR-1288,2026-03-12,TikTok Ads,69.96
ORD-10126,USR-1027,2026-03-02,Meta Ads,90.9
ORD-10127,USR-1176,2026-06-18,TikTok Ads,72.07
ORD-10128,USR-1852,2026-04-08,Google Ads,29.8
ORD-10129,USR-2089,2026-01-22,Organic Search,25.24
ORD-10130,USR-1636,2026-05-24,Google Ads,93.67
ORD-10131,USR-2317,2026-03-17,Meta Ads,99.67
ORD-10132,USR-1242,2026-05-18,Direct,97.56
ORD-10133,USR-1531,2026-02-01,Meta Ads,72.21
ORD-10134,USR-1213,2026-03-09,TikTok Ads,16.88
ORD-10135,USR-1603,2026-03-20,Organic Search,41.83
ORD-10136,USR-1057,2026-05-05,Google Ads,93.83
ORD-10137,USR-2277,2026-04-23,Meta Ads,51.08
ORD-10138,USR-2011,2026-02-13,Google Ads,98.83
ORD-10139,USR-1600,2026-06-16,TikTok Ads,56.73
ORD-10140,USR-1306,2026-06-20,TikTok Ads,35.54
ORD-10141,USR-1507,2026-01-12,Google Ads,98.25
ORD-10142,USR-2095,2026-06-13,Meta Ads,98.78
ORD-10143,USR-1237,2026-02-16,Meta Ads,70.97
ORD-10144,USR-2477,2026-02-11,Google Ads,98.29
ORD-10145,USR-1876,2026-01-07,TikTok Ads,110.15
ORD-10146,USR-1485,2026-04-24,Meta Ads,29.77
ORD-10147,USR-1612,2026-05-09,Meta Ads,91.93
ORD-10148,USR-1259,2026-06-25,Meta Ads,98.85
ORD-10149,USR-1543,2026-04-20,Meta Ads,27.35
ORD-10150,USR-2039,2026-05-19,Google Ads,118.78
ORD-10151,USR-1669,2026-04-19,Direct,81.64
ORD-10152,USR-1246,2026-01-04,Direct,28.63
ORD-10153,USR-1352,2026-03-10,Google Ads,18.08
ORD-10154,USR-2405,2026-05-28,Organic Search,54.8
ORD-10155,USR-2457,2026-01-09,Organic Search,26.63
ORD-10156,USR-2418,2026-03-01,Meta Ads,109.64
ORD-10157,USR-1724,2026-04-18,Google Ads,41.7
ORD-10158,USR-1985,2026-05-11,Organic Search,40.66
ORD-10159,USR-1189,2026-06-05,Organic Search,90.5
ORD-10160,USR-1040,2026-06-12,Meta Ads,92.67
ORD-10161,USR-1952,2026-03-23,TikTok Ads,60.73
ORD-10162,USR-1836,2026-05-08,Google Ads,99.65
ORD-10163,USR-1930,2026-04-04,Direct,18.27
ORD-10164,USR-2089,2026-05-05,TikTok Ads,48.07
ORD-10165,USR-1453,2026-06-05,TikTok Ads,104.85
ORD-10166,USR-1854,2026-05-04,Direct,23.09
ORD-10167,USR-1142,2026-03-08,TikTok Ads,37.33
ORD-10168,USR-2325,2026-02-26,Meta Ads,94.72
ORD-10169,USR-1844,2026-05-25,TikTok Ads,109.38
ORD-10170,USR-2274,2026-04-25,Organic Search,15.02
ORD-10171,USR-1557,2026-04-01,Google Ads,63.34
ORD-10172,USR-1701,2026-04-10,Google Ads,54.94
ORD-10173,USR-1595,2026-01-30,Organic Search,16.89
ORD-10174,USR-1153,2026-06-17,TikTok Ads,116.46
ORD-10175,USR-1082,2026-05-30,Organic Search,117.14
ORD-10176,USR-1283,2026-05-11,TikTok Ads,16.89
ORD-10177,USR-2096,2026-03-12,TikTok Ads,47.0
ORD-10178,USR-1786,2026-04-29,Google Ads,106.64
ORD-10179,USR-2460,2026-05-22,Meta Ads,71.77
ORD-10180,USR-1264,2026-06-17,Meta Ads,16.3
ORD-10181,USR-2226,2026-04-30,Meta Ads,22.8
ORD-10182,USR-1067,2026-03-19,TikTok Ads,107.11
ORD-10183,USR-2150,2026-01-02,TikTok Ads,80.75
ORD-10184,USR-1880,2026-01-16,Meta Ads,44.96
ORD-10185,USR-1493,2026-01-12,Google Ads,104.85
ORD-10186,USR-2299,2026-05-29,Meta Ads,38.12
ORD-10187,USR-2224,2026-06-21,Meta Ads,110.51
ORD-10188,USR-1481,2026-03-09,Organic Search,107.29
ORD-10189,USR-1342,2026-03-06,Meta Ads,60.19
ORD-10190,USR-1173,2026-03-17,Organic Search,96.26
ORD-10191,USR-1819,2026-04-15,Meta Ads,61.55
ORD-10192,USR-1504,2026-01-21,TikTok Ads,88.78
ORD-10193,USR-1347,2026-05-12,TikTok Ads,25.94
ORD-10194,USR-1578,2026-05-30,TikTok Ads,83.48
ORD-10195,USR-2384,2026-06-11,Google Ads,68.16
ORD-10196,USR-1213,2026-03-28,Google Ads,41.71
ORD-10197,USR-1261,2026-05-25,Meta Ads,19.79
ORD-10198,USR-1361,2026-05-16,Meta Ads,117.01
ORD-10199,USR-1866,2026-04-03,Google Ads,35.59
ORD-10200,USR-1652,2026-02-04,Google Ads,71.39
ORD-10201,USR-2213,2026-02-18,Meta Ads,102.5
ORD-10202,USR-1601,2026-05-28,Meta Ads,63.6
ORD-10203,USR-1617,2026-06-26,Meta Ads,45.82
ORD-10204,USR-2367,2026-05-06,Meta Ads,24.14
ORD-10205,USR-1818,2026-02-10,Organic Search,107.39
ORD-10206,USR-1778,2026-02-10,Meta Ads,19.71
ORD-10207,USR-1000,2026-05-19,Meta Ads,55.94
ORD-10208,USR-1455,2026-01-19,Google Ads,85.45
ORD-10209,USR-2263,2026-04-19,TikTok Ads,46.16
ORD-10210,USR-2273,2026-03-31,Direct,90.75
ORD-10211,USR-2366,2026-06-02,TikTok Ads,90.35
ORD-10212,USR-1849,2026-06-24,Meta Ads,41.95
ORD-10213,USR-1638,2026-03-09,Google Ads,84.58
ORD-10214,USR-1935,2026-05-27,Google Ads,93.87
ORD-10215,USR-1654,2026-03-17,Meta Ads,93.73
ORD-10216,USR-1104,2026-01-02,TikTok Ads,82.88
ORD-10217,USR-2289,2026-02-20,Google Ads,67.73
ORD-10218,USR-2400,2026-02-20,Organic Search,31.2
ORD-10219,USR-1666,2026-01-03,TikTok Ads,92.8
ORD-10220,USR-2373,2026-04-03,Meta Ads,29.92
ORD-10221,USR-1267,2026-03-22,TikTok Ads,45.98
ORD-10222,USR-1985,2026-03-06,Meta Ads,110.56
ORD-10223,USR-1222,2026-03-03,Google Ads,63.99
ORD-10224,USR-1276,2026-06-01,TikTok Ads,87.71
ORD-10225,USR-2452,2026-05-26,Google Ads,43.92
ORD-10226,USR-2387,2026-05-02,Google Ads,98.83
ORD-10227,USR-2064,2026-06-05,Google Ads,60.25
ORD-10228,USR-1671,2026-04-14,Organic Search,53.97
ORD-10229,USR-2403,2026-02-26,Meta Ads,87.28
ORD-10230,USR-1932,2026-06-16,Google Ads,82.8
ORD-10231,USR-2216,2026-06-14,Organic Search,114.4
ORD-10232,USR-2467,2026-01-19,Meta Ads,54.79
ORD-10233,USR-2498,2026-06-12,Meta Ads,58.01
ORD-10234,USR-1575,2026-02-18,Meta Ads,78.61
ORD-10235,USR-2463,2026-06-11,Organic Search,118.74
ORD-10236,USR-2457,2026-03-06,Meta Ads,65.99
ORD-10237,USR-1074,2026-04-30,Direct,29.26
ORD-10238,USR-1362,2026-06-03,Meta Ads,55.74
ORD-10239,USR-1124,2026-02-20,Meta Ads,63.14
ORD-10240,USR-1121,2026-01-30,Meta Ads,27.19
ORD-10241,USR-2058,2026-06-19,Google Ads,108.28
ORD-10242,USR-1368,2026-01-18,Organic Search,24.26
ORD-10243,USR-1108,2026-02-28,Direct,116.93
ORD-10244,USR-2188,2026-01-22,Google Ads,65.18
ORD-10245,USR-1820,2026-05-21,Google Ads,102.53
ORD-10246,USR-2377,2026-06-28,Google Ads,42.23
ORD-10247,USR-1340,2026-02-20,Meta Ads,50.96
ORD-10248,USR-1358,2026-01-21,Direct,72.21
ORD-10249,USR-2303,2026-05-09,Google Ads,119.97
ORD-10250,USR-1138,2026-05-21,TikTok Ads,36.77
ORD-10251,USR-1103,2026-01-17,TikTok Ads,49.21
ORD-10252,USR-1164,2026-06-01,TikTok Ads,91.74
ORD-10253,USR-1656,2026-01-08,Meta Ads,89.64
ORD-10254,USR-1063,2026-04-28,Meta Ads,77.27
ORD-10255,USR-2163,2026-04-08,TikTok Ads,18.99
ORD-10256,USR-1976,2026-05-19,Google Ads,86.48
ORD-10257,USR-1882,2026-06-18,Organic Search,63.58
ORD-10258,USR-1819,2026-02-17,Meta Ads,105.67
ORD-10259,USR-2239,2026-04-12,Google Ads,61.33
ORD-10260,USR-1760,2026-06-04,Google Ads,53.04
ORD-10261,USR-1081,2026-06-28,Organic Search,61.56
ORD-10262,USR-1771,2026-06-24,TikTok Ads,99.69
ORD-10263,USR-2352,2026-06-12,Meta Ads,21.24
ORD-10264,USR-1880,2026-06-22,Google Ads,46.34
ORD-10265,USR-2346,2026-03-13,Meta Ads,62.07
ORD-10266,USR-1286,2026-01-13,Direct,92.07
ORD-10267,USR-2372,2026-04-24,Google Ads,18.21
ORD-10268,USR-1319,2026-03-08,TikTok Ads,46.44
ORD-10269,USR-1695,2026-06-18,Meta Ads,70.5
ORD-10270,USR-2393,2026-02-16,Direct,86.07
ORD-10271,USR-1541,2026-04-23,Meta Ads,16.5
ORD-10272,USR-1000,2026-03-06,Meta Ads,22.25
ORD-10273,USR-1187,2026-05-21,TikTok Ads,84.15
ORD-10274,USR-1546,2026-05-07,Organic Search,79.43
ORD-10275,USR-1801,2026-04-14,Google Ads,23.15
ORD-10276,USR-2381,2026-05-08,TikTok Ads,47.14
ORD-10277,USR-1187,2026-03-13,Meta Ads,75.59
ORD-10278,USR-1082,2026-02-03,Meta Ads,69.87
ORD-10279,USR-1374,2026-01-16,TikTok Ads,103.42
ORD-10280,USR-2211,2026-05-04,TikTok Ads,30.25
ORD-10281,USR-1507,2026-01-13,TikTok Ads,105.66
ORD-10282,USR-1631,2026-05-16,Meta Ads,57.54
ORD-10283,USR-2254,2026-01-27,Meta Ads,65.03
ORD-10284,USR-1436,2026-03-06,Google Ads,18.54
ORD-10285,USR-2336,2026-05-27,Google Ads,94.76
ORD-10286,USR-2046,2026-01-31,Organic Search,106.03
ORD-10287,USR-2479,2026-03-15,Google Ads,73.24
ORD-10288,USR-2037,2026-05-28,TikTok Ads,63.63
ORD-10289,USR-1407,2026-04-20,Organic Search,45.45
ORD-10290,USR-2228,2026-01-30,Google Ads,111.26
ORD-10291,USR-2313,2026-01-08,Meta Ads,29.05
ORD-10292,USR-1872,2026-04-08,TikTok Ads,93.61
ORD-10293,USR-2264,2026-03-20,Meta Ads,68.67
ORD-10294,USR-1293,2026-06-03,TikTok Ads,109.05
ORD-10295,USR-1389,2026-03-29,Organic Search,40.92
ORD-10296,USR-1667,2026-05-01,Meta Ads,25.7
ORD-10297,USR-1136,2026-03-06,Meta Ads,103.48
ORD-10298,USR-1910,2026-06-21,Google Ads,114.01
ORD-10299,USR-1623,2026-03-24,Organic Search,113.31
ORD-10300,USR-1470,2026-06-28,Meta Ads,66.85
ORD-10301,USR-1631,2026-06-10,Direct,85.96
ORD-10302,USR-1234,2026-06-24,Meta Ads,84.97
ORD-10303,USR-1522,2026-06-10,Meta Ads,114.83
ORD-10304,USR-1532,2026-06-24,Direct,64.92
ORD-10305,USR-1912,2026-05-20,Direct,52.81
ORD-10306,USR-2023,2026-02-17,Google Ads,60.44
ORD-10307,USR-1226,2026-02-16,Meta Ads,53.83
ORD-10308,USR-2036,2026-05-04,Organic Search,58.73
ORD-10309,USR-1897,2026-05-21,Google Ads,37.26
ORD-10310,USR-1951,2026-03-14,Organic Search,83.01
ORD-10311,USR-2196,2026-04-10,TikTok Ads,18.77
ORD-10312,USR-2286,2026-05-17,Meta Ads,28.2
ORD-10313,USR-1939,2026-01-03,Meta Ads,56.49
ORD-10314,USR-1355,2026-02-23,Meta Ads,23.96
ORD-10315,USR-1117,2026-01-13,Meta Ads,97.11
ORD-10316,USR-1052,2026-02-22,Meta Ads,87.24
ORD-10317,USR-1867,2026-01-13,Google Ads,114.63
ORD-10318,USR-1110,2026-06-12,Google Ads,49.68
ORD-10319,USR-1540,2026-01-12,Google Ads,63.73
ORD-10320,USR-1229,2026-05-02,Google Ads,95.04
ORD-10321,USR-1464,2026-04-29,TikTok Ads,69.74
ORD-10322,USR-1174,2026-01-27,Google Ads,99.75
ORD-10323,USR-2414,2026-06-11,Meta Ads,16.84
ORD-10324,USR-1518,2026-06-02,TikTok Ads,51.55
ORD-10325,USR-1719,2026-05-06,Google Ads,46.48
ORD-10326,USR-1306,2026-05-15,Organic Search,17.48
ORD-10327,USR-1982,2026-03-16,Organic Search,96.94
ORD-10328,USR-1643,2026-02-14,Google Ads,109.44
ORD-10329,USR-1609,2026-06-06,Meta Ads,78.35
ORD-10330,USR-2241,2026-03-20,Meta Ads,76.13
ORD-10331,USR-1607,2026-04-14,Direct,83.35
ORD-10332,USR-1539,2026-03-16,Direct,96.58
ORD-10333,USR-2222,2026-01-17,Meta Ads,29.78
ORD-10334,USR-1506,2026-01-26,Organic Search,75.72
ORD-10335,USR-1455,2026-01-11,Direct,81.78
ORD-10336,USR-1490,2026-04-05,TikTok Ads,100.04
ORD-10337,USR-1215,2026-06-24,Organic Search,91.12
ORD-10338,USR-1488,2026-02-26,Organic Search,87.45
ORD-10339,USR-1004,2026-01-26,Meta Ads,67.22
ORD-10340,USR-1945,2026-04-15,Google Ads,46.7
ORD-10341,USR-2145,2026-01-15,Google Ads,86.36
ORD-10342,USR-1597,2026-05-14,Meta Ads,94.89
ORD-10343,USR-2246,2026-03-19,Google Ads,19.61
ORD-10344,USR-2451,2026-01-06,Google Ads,109.26
ORD-10345,USR-1330,2026-04-18,Organic Search,98.28
ORD-10346,USR-1271,2026-01-11,Google Ads,81.84
ORD-10347,USR-2113,2026-02-17,Google Ads,69.87
ORD-10348,USR-1273,2026-03-17,Meta Ads,77.32
ORD-10349,USR-1153,2026-02-24,Meta Ads,16.49
ORD-10350,USR-1124,2026-04-18,TikTok Ads,114.09
ORD-10351,USR-1847,2026-04-17,Google Ads,117.62
ORD-10352,USR-1007,2026-01-08,Meta Ads,96.17
ORD-10353,USR-2062,2026-04-04,TikTok Ads,97.04
ORD-10354,USR-1092,2026-03-25,Google Ads,67.38
ORD-10355,USR-2179,2026-05-17,Organic Search,39.01
ORD-10356,USR-1169,2026-06-20,Meta Ads,48.78
ORD-10357,USR-1943,2026-03-07,Google Ads,25.02
ORD-10358,USR-1348,2026-04-11,Meta Ads,65.49
ORD-10359,USR-1739,2026-05-21,Meta Ads,45.33
ORD-10360,USR-1128,2026-06-04,Direct,19.72
ORD-10361,USR-1979,2026-04-03,Google Ads,24.53
ORD-10362,USR-2382,2026-04-04,Organic Search,75.6
ORD-10363,USR-1115,2026-01-17,TikTok Ads,55.56
ORD-10364,USR-1960,2026-04-01,Google Ads,40.24
ORD-10365,USR-2427,2026-02-27,Organic Search,25.69
ORD-10366,USR-2064,2026-01-10,Organic Search,19.09
ORD-10367,USR-2301,2026-05-02,Direct,106.01
ORD-10368,USR-1708,2026-06-18,Direct,90.51
ORD-10369,USR-1098,2026-02-25,Google Ads,49.27
ORD-10370,USR-1699,2026-04-25,Meta Ads,60.16
ORD-10371,USR-1404,2026-03-12,Organic Search,95.13
ORD-10372,USR-2422,2026-01-23,Google Ads,72.17
ORD-10373,USR-1552,2026-04-19,Google Ads,46.05
ORD-10374,USR-1923,2026-04-22,Organic Search,81.78
ORD-10375,USR-1420,2026-03-09,Meta Ads,63.3
ORD-10376,USR-1039,2026-04-21,Organic Search,20.0
ORD-10377,USR-1535,2026-06-13,TikTok Ads,83.74
ORD-10378,USR-1432,2026-03-08,Google Ads,71.6
ORD-10379,USR-1580,2026-04-26,Google Ads,56.14
ORD-10380,USR-1699,2026-03-03,Google Ads,69.86
ORD-10381,USR-1679,2026-04-11,TikTok Ads,38.74
ORD-10382,USR-1211,2026-06-15,Meta Ads,39.19
ORD-10383,USR-1843,2026-06-28,Meta Ads,38.55
ORD-10384,USR-2366,2026-06-13,TikTok Ads,79.01
ORD-10385,USR-1536,2026-01-30,Meta Ads,41.55
ORD-10386,USR-2405,2026-06-28,Meta Ads,50.38
ORD-10387,USR-1503,2026-02-16,Organic Search,95.06
ORD-10388,USR-1752,2026-02-23,Google Ads,54.97
ORD-10389,USR-1031,2026-01-31,TikTok Ads,32.57
ORD-10390,USR-1009,2026-01-09,Meta Ads,65.6
ORD-10391,USR-1435,2026-01-17,TikTok Ads,81.38
ORD-10392,USR-2125,2026-05-03,TikTok Ads,96.98
ORD-10393,USR-1488,2026-02-20,Google Ads,62.13
ORD-10394,USR-2446,2026-04-14,Meta Ads,63.48
ORD-10395,USR-2401,2026-01-01,Meta Ads,91.54
ORD-10396,USR-2441,2026-05-06,Meta Ads,99.74
ORD-10397,USR-1261,2026-03-14,Meta Ads,84.84
ORD-10398,USR-1560,2026-01-03,Meta Ads,91.34
ORD-10399,USR-1191,2026-06-24,Google Ads,67.11
ORD-10400,USR-1863,2026-01-15,Google Ads,92.12
ORD-10401,USR-1042,2026-05-26,Meta Ads,103.09
ORD-10402,USR-2293,2026-03-19,TikTok Ads,103.54
ORD-10403,USR-1924,2026-05-12,Google Ads,100.8
ORD-10404,USR-2191,2026-05-01,Google Ads,20.43
ORD-10405,USR-1999,2026-01-27,Google Ads,33.82
ORD-10406,USR-1658,2026-03-05,TikTok Ads,56.64
ORD-10407,USR-2112,2026-05-03,Organic Search,31.51
ORD-10408,USR-2399,2026-06-21,Meta Ads,100.72
ORD-10409,USR-1518,2026-02-26,TikTok Ads,47.85
ORD-10410,USR-2014,2026-04-29,Google Ads,110.14
ORD-10411,USR-1112,2026-03-13,Meta Ads,17.08
ORD-10412,USR-2306,2026-02-22,Meta Ads,58.22
ORD-10413,USR-1568,2026-05-14,Meta Ads,107.19
ORD-10414,USR-2082,2026-03-10,Meta Ads,52.36
ORD-10415,USR-1018,2026-02-19,Google Ads,86.14
ORD-10416,USR-1558,2026-05-03,Meta Ads,55.05
ORD-10417,USR-1390,2026-02-02,TikTok Ads,81.39
ORD-10418,USR-1127,2026-01-14,TikTok Ads,93.85
ORD-10419,USR-1337,2026-05-28,Meta Ads,113.83
ORD-10420,USR-1217,2026-04-15,Direct,62.26
ORD-10421,USR-2348,2026-01-17,Meta Ads,117.79
ORD-10422,USR-2497,2026-06-18,TikTok Ads,76.13
ORD-10423,USR-2227,2026-06-26,Meta Ads,22.77
ORD-10424,USR-2368,2026-05-11,Meta Ads,92.72
ORD-10425,USR-1585,2026-01-02,Meta Ads,87.43
ORD-10426,USR-2318,2026-06-03,TikTok Ads,33.07
ORD-10427,USR-1949,2026-01-20,Meta Ads,88.06
ORD-10428,USR-1366,2026-05-27,TikTok Ads,73.1
ORD-10429,USR-2157,2026-02-22,Meta Ads,41.34
ORD-10430,USR-2375,2026-01-10,Google Ads,79.05
ORD-10431,USR-1257,2026-04-10,Meta Ads,105.94
ORD-10432,USR-1265,2026-03-06,Meta Ads,79.29
ORD-10433,USR-1559,2026-02-28,TikTok Ads,15.7
ORD-10434,USR-1413,2026-01-22,TikTok Ads,86.41
ORD-10435,USR-1300,2026-01-28,TikTok Ads,76.21
ORD-10436,USR-1082,2026-02-18,Google Ads,115.55
ORD-10437,USR-1045,2026-06-13,TikTok Ads,34.8
ORD-10438,USR-2189,2026-02-01,Meta Ads,25.7
ORD-10439,USR-1689,2026-04-24,TikTok Ads,24.73
ORD-10440,USR-1366,2026-03-26,Organic Search,42.16
ORD-10441,USR-1914,2026-04-03,Google Ads,76.89
ORD-10442,USR-2064,2026-01-17,Google Ads,40.41
ORD-10443,USR-1756,2026-06-17,TikTok Ads,107.13
ORD-10444,USR-1736,2026-06-29,Meta Ads,37.51
ORD-10445,USR-1801,2026-03-10,Meta Ads,21.57
ORD-10446,USR-2337,2026-03-02,Google Ads,77.7
ORD-10447,USR-2327,2026-01-16,Meta Ads,49.97
ORD-10448,USR-1274,2026-03-23,Organic Search,66.82
ORD-10449,USR-1386,2026-03-04,Google Ads,79.76
ORD-10450,USR-1602,2026-03-06,Meta Ads,69.75
ORD-10451,USR-1720,2026-06-28,TikTok Ads,111.68
ORD-10452,USR-1294,2026-05-14,TikTok Ads,43.23
ORD-10453,USR-1548,2026-01-28,Organic Search,84.98
ORD-10454,USR-1769,2026-02-25,TikTok Ads,81.18
